Regions Code,Regions,NumberOfDisabledPeople,HouseholdComposition,HouseholdCompositionNumber,Observation
E12000001,North East,8,Does not apply,8,0
E12000001,North East,8,Does not apply,0,0
E12000001,North East,8,Does not apply,1,0
E12000001,North East,8,Does not apply,2,0
E12000001,North East,1,One-person household,8,0
E12000001,North East,1,One-person household,0,244696
E12000001,North East,1,One-person household,1,151228
E12000001,North East,1,One-person household,2,0
E12000001,North East,2,Single family aged 66 years and over,8,0
E12000001,North East,2,Single family aged 66 years and over,0,56660
E12000001,North East,2,Single family aged 66 years and over,1,34798
E12000001,North East,2,Single family aged 66 years and over,2,20940
E12000001,North East,3,Couple family household,8,0
E12000001,North East,3,Couple family household,0,322904
E12000001,North East,3,Couple family household,1,100759
E12000001,North East,3,Couple family household,2,44969
E12000001,North East,4, Lone parent household,8,0
E12000001,North East,4, Lone parent household,0,85232
E12000001,North East,4, Lone parent household,1,41989
E12000001,North East,4, Lone parent household,2,16194
E12000001,North East,5,Other household types,8,0
E12000001,North East,5,Other household types,0,30086
E12000001,North East,5,Other household types,1,15199
E12000001,North East,5,Other household types,2,10027
E12000002,North West,8,Does not apply,8,0
E12000002,North West,8,Does not apply,0,0
E12000002,North West,8,Does not apply,1,0
E12000002,North West,8,Does not apply,2,0
E12000002,North West,1,One-person household,8,0
E12000002,North West,1,One-person household,0,648438
E12000002,North West,1,One-person household,1,366472
E12000002,North West,1,One-person household,2,0
E12000002,North West,2,Single family aged 66 years and over,8,0
E12000002,North West,2,Single family aged 66 years and over,0,146413
E12000002,North West,2,Single family aged 66 years and over,1,85096
E12000002,North West,2,Single family aged 66 years and over,2,47162
E12000002,North West,3,Couple family household,8,0
E12000002,North West,3,Couple family household,0,913389
E12000002,North West,3,Couple family household,1,255828
E12000002,North West,3,Couple family household,2,108276
E12000002,North West,4, Lone parent household,8,0
E12000002,North West,4, Lone parent household,0,227848
E12000002,North West,4, Lone parent household,1,110059
E12000002,North West,4, Lone parent household,2,44589
E12000002,North West,5,Other household types,8,0
E12000002,North West,5,Other household types,0,113054
E12000002,North West,5,Other household types,1,52840
E12000002,North West,5,Other household types,2,33939
E12000003,Yorkshire and The Humber,8,Does not apply,8,0
E12000003,Yorkshire and The Humber,8,Does not apply,0,0
E12000003,Yorkshire and The Humber,8,Does not apply,1,0
E12000003,Yorkshire and The Humber,8,Does not apply,2,0
E12000003,Yorkshire and The Humber,1,One-person household,8,0
E12000003,Yorkshire and The Humber,1,One-person household,0,479526
E12000003,Yorkshire and The Humber,1,One-person household,1,254032
E12000003,Yorkshire and The Humber,1,One-person household,2,0
E12000003,Yorkshire and The Humber,2,Single family aged 66 years and over,8,0
E12000003,Yorkshire and The Humber,2,Single family aged 66 years and over,0,118998
E12000003,Yorkshire and The Humber,2,Single family aged 66 years and over,1,66765
E12000003,Yorkshire and The Humber,2,Single family aged 66 years and over,2,36015
E12000003,Yorkshire and The Humber,3,Couple family household,8,0
E12000003,Yorkshire and The Humber,3,Couple family household,0,705491
E12000003,Yorkshire and The Humber,3,Couple family household,1,195022
E12000003,Yorkshire and The Humber,3,Couple family household,2,78257
E12000003,Yorkshire and The Humber,4, Lone parent household,8,0
E12000003,Yorkshire and The Humber,4, Lone parent household,0,159556
E12000003,Yorkshire and The Humber,4, Lone parent household,1,70963
E12000003,Yorkshire and The Humber,4, Lone parent household,2,25940
E12000003,Yorkshire and The Humber,5,Other household types,8,0
E12000003,Yorkshire and The Humber,5,Other household types,0,80633
E12000003,Yorkshire and The Humber,5,Other household types,1,36813
E12000003,Yorkshire and The Humber,5,Other household types,2,22647
E12000004,East Midlands,8,Does not apply,8,0
E12000004,East Midlands,8,Does not apply,0,0
E12000004,East Midlands,8,Does not apply,1,0
E12000004,East Midlands,8,Does not apply,2,0
E12000004,East Midlands,1,One-person household,8,0
E12000004,East Midlands,1,One-person household,0,393928
E12000004,East Midlands,1,One-person household,1,203249
E12000004,East Midlands,1,One-person household,2,0
E12000004,East Midlands,2,Single family aged 66 years and over,8,0
E12000004,East Midlands,2,Single family aged 66 years and over,0,112642
E12000004,East Midlands,2,Single family aged 66 years and over,1,62832
E12000004,East Midlands,2,Single family aged 66 years and over,2,33913
E12000004,East Midlands,3,Couple family household,8,0
E12000004,East Midlands,3,Couple family household,0,639552
E12000004,East Midlands,3,Couple family household,1,175846
E12000004,East Midlands,3,Couple family household,2,70887
E12000004,East Midlands,4, Lone parent household,8,0
E12000004,East Midlands,4, Lone parent household,0,128986
E12000004,East Midlands,4, Lone parent household,1,57669
E12000004,East Midlands,4, Lone parent household,2,22623
E12000004,East Midlands,5,Other household types,8,0
E12000004,East Midlands,5,Other household types,0,81432
E12000004,East Midlands,5,Other household types,1,33600
E12000004,East Midlands,5,Other household types,2,20172
E12000005,West Midlands,8,Does not apply,8,0
E12000005,West Midlands,8,Does not apply,0,0
E12000005,West Midlands,8,Does not apply,1,0
E12000005,West Midlands,8,Does not apply,2,0
E12000005,West Midlands,1,One-person household,8,0
E12000005,West Midlands,1,One-person household,0,476316
E12000005,West Midlands,1,One-person household,1,249491
E12000005,West Midlands,1,One-person household,2,0
E12000005,West Midlands,2,Single family aged 66 years and over,8,0
E12000005,West Midlands,2,Single family aged 66 years and over,0,122598
E12000005,West Midlands,2,Single family aged 66 years and over,1,70197
E12000005,West Midlands,2,Single family aged 66 years and over,2,38421
E12000005,West Midlands,3,Couple family household,8,0
E12000005,West Midlands,3,Couple family household,0,732279
E12000005,West Midlands,3,Couple family household,1,198425
E12000005,West Midlands,3,Couple family household,2,83129
E12000005,West Midlands,4, Lone parent household,8,0
E12000005,West Midlands,4, Lone parent household,0,177835
E12000005,West Midlands,4, Lone parent household,1,79171
E12000005,West Midlands,4, Lone parent household,2,30199
E12000005,West Midlands,5,Other household types,8,0
E12000005,West Midlands,5,Other household types,0,99789
E12000005,West Midlands,5,Other household types,1,44128
E12000005,West Midlands,5,Other household types,2,27515
E12000006,East of England,8,Does not apply,8,0
E12000006,East of England,8,Does not apply,0,0
E12000006,East of England,8,Does not apply,1,0
E12000006,East of England,8,Does not apply,2,0
E12000006,East of England,1,One-person household,8,0
E12000006,East of England,1,One-person household,0,520396
E12000006,East of England,1,One-person household,1,239412
E12000006,East of England,1,One-person household,2,0
E12000006,East of England,2,Single family aged 66 years and over,8,0
E12000006,East of England,2,Single family aged 66 years and over,0,154598
E12000006,East of England,2,Single family aged 66 years and over,1,80160
E12000006,East of England,2,Single family aged 66 years and over,2,37753
E12000006,East of England,3,Couple family household,8,0
E12000006,East of England,3,Couple family household,0,866924
E12000006,East of England,3,Couple family household,1,212012
E12000006,East of England,3,Couple family household,2,78869
E12000006,East of England,4, Lone parent household,8,0
E12000006,East of England,4, Lone parent household,0,169496
E12000006,East of England,4, Lone parent household,1,71204
E12000006,East of England,4, Lone parent household,2,27738
E12000006,East of England,5,Other household types,8,0
E12000006,East of England,5,Other household types,0,105425
E12000006,East of England,5,Other household types,1,41500
E12000006,East of England,5,Other household types,2,23294
E12000007,London,8,Does not apply,8,0
E12000007,London,8,Does not apply,0,0
E12000007,London,8,Does not apply,1,0
E12000007,London,8,Does not apply,2,0
E12000007,London,1,One-person household,8,0
E12000007,London,1,One-person household,0,725791
E12000007,London,1,One-person household,1,276191
E12000007,London,1,One-person household,2,0
E12000007,London,2,Single family aged 66 years and over,8,0
E12000007,London,2,Single family aged 66 years and over,0,84501
E12000007,London,2,Single family aged 66 years and over,1,42595
E12000007,London,2,Single family aged 66 years and over,2,21113
E12000007,London,3,Couple family household,8,0
E12000007,London,3,Couple family household,0,1053948
E12000007,London,3,Couple family household,1,201189
E12000007,London,3,Couple family household,2,71447
E12000007,London,4, Lone parent household,8,0
E12000007,London,4, Lone parent household,0,296423
E12000007,London,4, Lone parent household,1,117533
E12000007,London,4, Lone parent household,2,39982
E12000007,London,5,Other household types,8,0
E12000007,London,5,Other household types,0,351687
E12000007,London,5,Other household types,1,99244
E12000007,London,5,Other household types,2,42246
E12000008,South East,8,Does not apply,8,0
E12000008,South East,8,Does not apply,0,0
E12000008,South East,8,Does not apply,1,0
E12000008,South East,8,Does not apply,2,0
E12000008,South East,1,One-person household,8,0
E12000008,South East,1,One-person household,0,751454
E12000008,South East,1,One-person household,1,330285
E12000008,South East,1,One-person household,2,0
E12000008,South East,2,Single family aged 66 years and over,8,0
E12000008,South East,2,Single family aged 66 years and over,0,226454
E12000008,South East,2,Single family aged 66 years and over,1,111725
E12000008,South East,2,Single family aged 66 years and over,2,48806
E12000008,South East,3,Couple family household,8,0
E12000008,South East,3,Couple family household,0,1283969
E12000008,South East,3,Couple family household,1,302565
E12000008,South East,3,Couple family household,2,107297
E12000008,South East,4, Lone parent household,8,0
E12000008,South East,4, Lone parent household,0,232380
E12000008,South East,4, Lone parent household,1,98428
E12000008,South East,4, Lone parent household,2,39033
E12000008,South East,5,Other household types,8,0
E12000008,South East,5,Other household types,0,169624
E12000008,South East,5,Other household types,1,68890
E12000008,South East,5,Other household types,2,37055
E12000009,South West,8,Does not apply,8,0
E12000009,South West,8,Does not apply,0,0
E12000009,South West,8,Does not apply,1,0
E12000009,South West,8,Does not apply,2,0
E12000009,South West,1,One-person household,8,0
E12000009,South West,1,One-person household,0,494729
E12000009,South West,1,One-person household,1,246594
E12000009,South West,1,One-person household,2,0
E12000009,South West,2,Single family aged 66 years and over,8,0
E12000009,South West,2,Single family aged 66 years and over,0,159365
E12000009,South West,2,Single family aged 66 years and over,1,85392
E12000009,South West,2,Single family aged 66 years and over,2,39366
E12000009,South West,3,Couple family household,8,0
E12000009,South West,3,Couple family household,0,753392
E12000009,South West,3,Couple family household,1,205223
E12000009,South West,3,Couple family household,2,76923
E12000009,South West,4, Lone parent household,8,0
E12000009,South West,4, Lone parent household,0,134774
E12000009,South West,4, Lone parent household,1,63508
E12000009,South West,4, Lone parent household,2,25549
E12000009,South West,5,Other household types,8,0
E12000009,South West,5,Other household types,0,94587
E12000009,South West,5,Other household types,1,43958
E12000009,South West,5,Other household types,2,25520
W92000004,Wales,8,Does not apply,8,0
W92000004,Wales,8,Does not apply,0,0
W92000004,Wales,8,Does not apply,1,0
W92000004,Wales,8,Does not apply,2,0
W92000004,Wales,1,One-person household,8,0
W92000004,Wales,1,One-person household,0,266183
W92000004,Wales,1,One-person household,1,163376
W92000004,Wales,1,One-person household,2,0
W92000004,Wales,2,Single family aged 66 years and over,8,0
W92000004,Wales,2,Single family aged 66 years and over,0,67701
W92000004,Wales,2,Single family aged 66 years and over,1,44029
W92000004,Wales,2,Single family aged 66 years and over,2,26278
W92000004,Wales,3,Couple family household,8,0
W92000004,Wales,3,Couple family household,0,370603
W92000004,Wales,3,Couple family household,1,118282
W92000004,Wales,3,Couple family household,2,53461
W92000004,Wales,4, Lone parent household,8,0
W92000004,Wales,4, Lone parent household,0,93116
W92000004,Wales,4, Lone parent household,1,49551
W92000004,Wales,4, Lone parent household,2,19169
W92000004,Wales,5,Other household types,8,0
W92000004,Wales,5,Other household types,0,38903
W92000004,Wales,5,Other household types,1,21647
W92000004,Wales,5,Other household types,2,14813